gene,n_structural,n_contact,median_structural,median_contact,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
SERPINA6,68,142,0.0170574186016842,0.02340740890564075,-0.11608609043210755,-0.40533999992670844,0.17316781906249334,4481.0,0.4003934864271249,,0.9447895256118932,False
ST8SIA4,68,142,0.029455883596691053,0.0540749823787775,-0.11605348647773708,-0.40530727631007446,0.17320030335460032,4361.0,0.25757308194823514,,0.9142008971523761,False
CIAO3,68,142,-2.0745117229790395,-2.006302578722119,-0.11601629094833081,-0.40526994430750096,0.1732373624108393,4462.0,0.37506292511872763,,0.9405948685739727,False
UCHL3,68,142,-0.03741251624243825,-0.0173851080179095,-0.1160112254878077,-0.40526486026480546,0.17324240928919007,4319.0,0.21717477865705304,,0.9068842468792776,False
MATN3,68,142,-0.0154738502491004,-0.01608909002722185,-0.11594297743770851,-0.40519636193205166,0.1733104070566346,4771.0,0.8909363408518235,,0.9953227089757479,False
TMED5,68,142,-0.22388495762984115,-0.19953832505536756,-0.11592225517165303,-0.4051755637013741,0.17333105335806806,4516.0,0.449662740243584,,0.9573935132108343,False
MPHOSPH9,68,142,-0.0606861037329625,-0.05495332455225305,-0.11591278945933928,-0.4051660632937343,0.1733404843750557,4352.0,0.248505093754661,,0.91310345002353,False
FAM78A,68,142,-0.017842268868856398,-0.005503447197074549,-0.11591089813477305,-0.40516416503710523,0.1733423687675591,4388.0,0.28614355038949835,,0.922756201489505,False
ENO1,68,142,-0.5743548428263645,-0.5188006704261581,-0.1158722575437311,-0.4051253828457019,0.1733808677582397,4432.0,0.33713751609677667,,0.9336754982909935,False
PVR,68,142,-0.043424714082549803,-0.03147494129583435,-0.11587013912170928,-0.4051232566619807,0.1733829784185621,4404.0,0.30404885098890155,,0.9275093479214008,False
ZNF467,68,142,0.055012257893550895,0.0694967938621491,-0.11586358417705508,-0.40511667770152227,0.17338950934741207,4633.0,0.6369047770591957,,0.9775695601187734,False
ZNF521,68,142,-0.045428744656799,-0.04520163686813225,-0.11574879419729049,-0.4050014673776685,0.1735038789830875,4478.0,0.396326946572765,,0.9446011872637892,False
PCNT,68,142,-0.21927760274562869,-0.1921146785751504,-0.11569869875288503,-0.40495118862148627,0.17355379111571623,4569.0,0.5304284984277469,,0.9699158901008881,False
SPATA7,68,142,-0.00992752322141005,0.01720052108035705,-0.1156983115545604,-0.40495080000661465,0.17355417689749386,4301.0,0.20133421387551287,,0.9052934661469995,False
HNRNPD,68,142,-0.27344908187563827,-0.1988515987089436,-0.11559930500442075,-0.4048514314009749,0.17365282139213342,4310.0,0.20914587357186631,,0.9059514978880614,False
SGK1,68,142,-0.04386199833469895,-0.04111354571632745,-0.11553888119438371,-0.40479078678013913,0.1737130243913717,4734.0,0.8204901742676431,,0.9911056805411732,False
OXLD1,68,142,-0.10373884217129065,-0.1002049166069261,-0.11552650034898487,-0.40477836070481343,0.1737253600068437,4521.0,0.45697149853741836,,0.9584695216135746,False
GDF1,68,142,-0.21444283404925374,-0.1861357625216784,-0.11544917517489746,-0.40470075315451953,0.17380240280472464,4459.0,0.3711558615022662,,0.9402362085458511,False
SRPRA,68,142,-0.6197527598286272,-0.5814211311218749,-0.11542443964938619,-0.4046759273396282,0.1738270480408558,4371.0,0.2679149373002354,,0.9224237213384258,False
ARL8B,68,142,-0.25652015903893277,-0.21962032090879105,-0.11534086130251074,-0.4045920440587834,0.1739103214537619,4575.0,0.5400147561897186,,0.9699158901008881,False
ZNRF4,68,142,-0.0018337997833848619,0.01179401832151295,-0.11531600326111403,-0.4045670953658623,0.17393508884363423,4553.0,0.5052945594835092,,0.966137422275411,False
SALL2,68,142,-0.03004979656557935,-0.04068161898566075,-0.11528794681453303,-0.40453893662735113,0.17396304299828508,4760.0,0.8698765235243281,,0.9925393536948601,False
RXFP2,68,142,0.09016751531751975,0.09702957131403295,-0.11528391502612553,-0.4045348901413549,0.17396706008910381,4455.0,0.3659858943483376,,0.939901393945159,False
CAAP1,68,142,0.07989314264251504,0.08028902749394676,-0.11524504158524794,-0.40449587501653284,0.17400579184603693,4619.0,0.6128514891596902,,0.9740124926272851,False
SCAF8,68,142,-0.11620271185697735,-0.0735280168310641,-0.11523665333440546,-0.4044874561988782,0.17401414953006727,4589.0,0.5627145727912296,,0.9699158901008881,False
ZNF703,68,142,0.0120349516349771,0.0260712120319012,-0.11517325996031079,-0.4044238318909716,0.17407731197034998,4421.0,0.32387196457076883,,0.9329073408383062,False
LTO1,68,142,-1.9952026919573176,-1.9837101946021365,-0.115158164447291,-0.40440868140566777,0.1740923525110858,4605.0,0.589208160548703,,0.9716813691528368,False
DSG4,68,142,-0.01193399137446805,-0.019254783645678,-0.11514896110541815,-0.40439944455215304,0.1741015223413167,4707.0,0.7699496940167603,,0.9874807212226971,False
AADACL3,68,142,0.0040455697001695,0.0207582651055888,-0.115055559199446,-0.40430570269806104,0.17419458429916906,4606.0,0.590882943955988,,0.9724756372716677,False
TDRD1,68,142,0.0087704681164819,0.01942422310369215,-0.11504826763109005,-0.40429838460270584,0.17420184934052574,4417.0,0.3191336007426572,,0.9320281313891438,False
PSORS1C1,68,142,-0.0310506391436206,-0.0258132169128633,-0.11503494382990559,-0.4042850123333691,0.17421512467355793,4461.0,0.3737577557310675,,0.9405948685739727,False
MAF,68,142,-0.14440943598379274,-0.14326618686439618,-0.11500345273547381,-0.4042534067056839,0.17424650123473628,4665.0,0.6933077139050117,,0.9844375640045762,False
PCDHA12,68,142,-0.12235643393206015,-0.1054004575344063,-0.11499979183865106,-0.40424973249619445,0.17425014881889234,4377.0,0.27425523678148855,,0.922756201489505,False
SYNC,68,142,-0.023879163077412002,-0.01597920985049235,-0.11499648333195993,-0.40424641195864963,0.17425344529472975,4536.0,0.47929337621158197,,0.9588774658832415,False
NDUFA7,68,142,-0.1562498931600632,-0.13588836410972738,-0.11497842510452119,-0.40422828807145583,0.17427143786241348,4526.0,0.46434652450705494,,0.9588774658832415,False
RARRES2,68,142,-0.0274625572912949,-0.0198307649198772,-0.11497762652837058,-0.4042274865919183,0.17427223353517718,4489.0,0.4113595078464817,,0.9488887979235613,False
SHPRH,68,142,-0.007582163393513062,0.0020194075301724,-0.11495001010701852,-0.40419976977780736,0.17429974956377028,4357.0,0.2535149120042236,,0.9142008971523761,False
L1CAM,68,142,0.0070907032239724,0.0125164761421631,-0.1149092495415904,-0.4041588610812942,0.1743403619981134,4683.0,0.7258238173517977,,0.9867955889782478,False
CD101,68,142,-0.2390416856249526,-0.22733171517482964,-0.11489900575730957,-0.40414858007754306,0.17435056856292389,4500.0,0.42672536557716134,,0.9515747456988036,False
ARHGAP32,68,142,0.04222512014474185,0.054375711956159756,-0.11488533462178531,-0.40413485927487075,0.17436419003130016,4568.0,0.5288392306877463,,0.9699158901008881,False
BICRA,68,142,0.023148225800773248,0.05016557890305095,-0.11487788422690257,-0.40412738181523544,0.17437161336143034,4437.0,0.3432811737184761,,0.9336754982909935,False
SZRD1,68,142,-0.13108488366781917,-0.11546745852817225,-0.11484030159353292,-0.40408966268365143,0.17440905949658558,4417.0,0.3191336007426572,,0.9320281313891438,False
TNXB,68,142,-0.1674234992203012,-0.15416400757574733,-0.11483064656243129,-0.40407997259316797,0.17441867946830536,4534.0,0.4762831587453913,,0.9588774658832415,False
ZMYM5,68,142,-0.016769909136106598,-0.01280029947656585,-0.11481569233159691,-0.40406496406628967,0.17443357940309587,4759.0,0.8679663323737941,,0.9925071300168675,False
PIGH,68,142,-0.3514900562772401,-0.3323300501929414,-0.11480517873963197,-0.4040544123056458,0.17444405482638187,4526.0,0.46434652450705494,,0.9588774658832415,False
P2RY13,68,142,0.03830646591163585,0.045098043703441296,-0.11478405685830771,-0.4040332137537225,0.17446510003710702,4735.0,0.8223778571188723,,0.9911056805411732,False
CACNA1D,68,142,0.00200118395460685,0.00722559455372055,-0.11476049402837732,-0.4040095654093838,0.17448857735262915,4828.0,1.0,,1.0,False
ATP5F1C,68,142,-0.7478891861191963,-0.7056073863431302,-0.11473999288959845,-0.4039889898819724,0.17450900410277548,4465.0,0.37899530279829696,,0.9416417182577499,False
THUMPD3,68,142,0.13735325711084306,0.14681229996652045,-0.11468186951829888,-0.4039306556814587,0.1745669166448609,4490.0,0.4127426845370398,,0.9488887979235613,False
NPM3,68,142,-0.2750256722137838,-0.2832163105073744,-0.1146655395811435,-0.4039142665303922,0.17458318736810519,4637.0,0.6438495195440064,,0.9777984022142441,False
DDR2,68,142,-0.034852931347698804,-0.0140289448875651,-0.11464620319002684,-0.40389486003456354,0.17460245365450988,4279.0,0.18313925405844622,,0.9052934661469995,False
BTF3,68,142,-0.6181561107585807,-0.5626424109013622,-0.11462466853531583,-0.4038732473191603,0.17462391024852864,4487.0,0.4086014217728431,,0.9475726970782268,False
KCNJ6,68,142,-0.0120900043745189,0.013257861167176348,-0.11460754299803065,-0.4038560597141885,0.17464097371812715,4379.0,0.2763912669356926,,0.922756201489505,False
AQP9,68,142,-0.061587339605513755,-0.04677547708161495,-0.11460469157006849,-0.40385319795276153,0.1746438148126246,4417.0,0.3191336007426572,,0.9320281313891438,False
APOA2,68,142,-0.02703044492565385,-0.0093689893698881,-0.11457948288562428,-0.4038278979241866,0.17466893215293808,4524.0,0.461388593133672,,0.9588774658832415,False
ZCCHC10,68,142,-0.1163521307756909,-0.11504184148025205,-0.11454628968683993,-0.4037945844798428,0.1747020051061629,4467.0,0.38163092880072735,,0.9416573805319722,False
ISL1,68,142,-0.0719497625308495,-0.03868548550511345,-0.11453056163192875,-0.4037787994606856,0.1747176761968281,4460.0,0.37245540066372096,,0.9402362085458511,False
OLFM3,68,142,-0.06449812966692865,-0.0490282021573365,-0.11450490152589309,-0.4037530464350304,0.1747432433832442,4552.0,0.5037447808573516,,0.966137422275411,False
JUND,68,142,-0.1593647939486491,-0.17188124322013015,-0.11444204664903326,-0.4036899640377807,0.17480587073971413,4850.0,0.958386690352226,,0.9993737785142749,False
PRR22,68,142,-0.1843666193051388,-0.17654324034080576,-0.11443347430605516,-0.40368136067453336,0.17481441206242304,4574.0,0.5384110455112284,,0.9699158901008881,False
OR5H15,55,125,-0.1141222693660981,-0.1030599135608512,-0.11442420269739778,-0.43178218200916085,0.2029337766143653,3196.0,0.45422074298488235,,0.9584175267665246,False
GSTA5,68,142,-0.05540464050026295,-0.0282354452451258,-0.11440076758941921,-0.40364853562520386,0.17484700044636547,4294.0,0.1954072355037526,,0.9052934661469995,False
HMGCLL1,68,142,-0.13116701667153552,-0.1117941454253335,-0.1143862122325817,-0.40363392761803835,0.1748615031528749,4590.0,0.5643534466676603,,0.9699546146014512,False
CALY,68,142,0.1332958873211598,0.135939789534265,-0.11438406387622481,-0.4036317714911113,0.1748636437386617,4647.0,0.6613469030142778,,0.9812556783375721,False
SLC44A3,68,142,-0.17471349894850347,-0.1793160604151989,-0.11434766239351789,-0.4035952383669868,0.174899913579951,4860.0,0.9390633560614385,,0.9983011227567234,False
ELP6,68,142,-0.9464986438367958,-0.9553747662855963,-0.1142565564711916,-0.4035038031548704,0.1749906902124872,4629.0,0.62999178424514,,0.9763246020990595,False
TNP2,68,142,-0.050867730704644454,-0.045759118307531446,-0.11424922432573836,-0.4034964445197839,0.17499799586830717,4693.0,0.7441087167163822,,0.9874807212226971,False
PEX1,68,142,-0.3547728403276164,-0.32882185717069357,-0.11422827247651948,-0.40347541698491407,0.17501887203187508,4637.0,0.6438495195440064,,0.9777984022142441,False
RAPGEF5,68,142,0.02885838312391495,0.03353779815821195,-0.11421807645809888,-0.40346518413980426,0.17502903122360647,4476.0,0.3936298248123856,,0.9446011872637892,False
IFTAP,68,142,0.00706165754570715,0.0136126566380778,-0.11418169691719793,-0.4034286732274959,0.17506527939310007,4610.0,0.5976038704192241,,0.9733516984786648,False
NIBAN3,68,142,-0.021314170621830948,0.00998326398311595,-0.11417720342811412,-0.40342416351471927,0.17506975665849106,4354.0,0.25050064799656857,,0.91326312187387,False
INCENP,68,142,-1.306344838066685,-1.2159412980773627,-0.1140941400467741,-0.40334080034877956,0.17515252025523137,4348.0,0.24454740827063504,,0.9120173830492423,False
RUSC2,68,142,0.0994830452921038,0.10199487018483211,-0.11406198291239104,-0.4033085272143673,0.17518456138958516,4614.0,0.6043593239487082,,0.9733516984786648,False
