gene,n_R175H,n_other_mut,median_R175H,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
ZEB2,29,766,-0.2890617619501743,-0.2634762213757535,0.19586072334758445,-0.17504592018039097,0.5667673668755598,11002.0,0.9313973487933842,,0.9965335340714473,False
ADCY1,29,766,0.0710229061155705,0.03697520783884835,0.19586757913545932,-0.1750390731392672,0.5667742314101858,12524.0,0.2432468010266945,,0.9683966228263008,False
SSBP4,29,766,-0.1783583031072002,-0.19309716487665052,0.19591752649028457,-0.17498918951750878,0.566824242498078,12409.0,0.28364232255641664,,0.9703041375622421,False
PPP1R36,29,766,0.084536601005608,0.06148420768360815,0.19610230589169556,-0.17480464603667453,0.5670092578200656,12741.0,0.17840769214957186,,0.9641225477761958,False
TSPAN8,29,766,0.0221125687732138,0.0096090589037803,0.1961089948670422,-0.17479796560577138,0.5670159553398557,12350.0,0.30603891760211477,,0.9703041375622421,False
PTPDC1,29,766,0.0226782292143917,0.0121409412694568,0.19611763073684763,-0.17478934076778752,0.5670246022414828,11617.0,0.6746863202594012,,0.9890288103802586,False
ANKRD52,29,766,-0.152744722226132,-0.19248701001302895,0.19614103651827236,-0.17476596488832868,0.5670480379248735,12292.0,0.32916920131139127,,0.9703041375622421,False
SLC17A7,29,766,-0.0835939539249646,-0.11902350202060105,0.19625008475701494,-0.17465705601075382,0.5671572255247836,12749.0,0.17629077085147105,,0.9641225477761958,False
PAFAH1B2,29,766,0.0817192857915946,0.0694895146233453,0.19633245599046564,-0.17457479009718338,0.5672397020781147,11794.0,0.5717083674688663,,0.983453062819846,False
ZCCHC24,29,766,0.0887621327282567,0.06947137840355574,0.1964100526401596,-0.17449729270298603,0.5673173979833053,11846.0,0.5429389317388938,,0.9833519290347225,False
KRT2,29,766,0.0879526281009417,0.08597828825903461,0.19647169994045585,-0.17443572428497842,0.5673791241658901,12266.0,0.3398964258732178,,0.9703041375622421,False
