drug_id,drug_name,n_group1,n_group2,median_group1,median_group2,cohens_d,mannwhitney_U,pvalue,fdr
BRD:BRD-K82941592-238-04-5,,38,69,-0.0412,-0.0547,0.0742,1365.0,0.7276373508669159,0.9964436473790778
BRD:BRD-K51662849-001-05-4,,38,69,-0.4311,-0.2901,0.0139,1257.0,0.7276373508669159,0.9964436473790778
BRD:BRD-K00003499-001-01-9,adavivint,49,116,-3.3058,-4.0657,0.0471,2940.0,0.7280598024412239,0.9964436473790778
BRD:BRD-K00078770-001-02-9,4-CPA,49,112,0.0486,0.086,-0.1291,2649.0,0.7284541890106647,0.9964436473790778
BRD:BRD-K10176267-001-03-3,,40,71,0.1543,0.1594,-0.1232,1363.0,0.7285664581824955,0.9964436473790778
BRD:BRD-K79102359-003-01-6,,40,71,-0.0541,-0.0167,0.0512,1477.0,0.7285664581824955,0.9964436473790778
BRD:BRD-K36984403-001-02-7,,40,71,-0.1617,-0.21,-0.0369,1477.0,0.7285664581824955,0.9964436473790778
BRD:BRD-K68502831-001-01-2,,38,63,0.1511,0.1036,0.1461,1247.0,0.7285888047253554,0.9964436473790778
BRD:BRD-K12068470-001-02-5,,38,63,-2.9926,-3.1115,0.114,1247.0,0.7285888047253554,0.9964436473790778
BRD:BRD-K00005238-001-01-9,alpha-glucosyl-hesperidin,49,114,0.0048,0.0046,0.074,2889.0,0.7296147115753226,0.9964436473790778
BRD:BRD-K48812570-001-02-3,,39,69,-0.1836,-0.1084,-0.0896,1291.0,0.7297984885497555,0.9964436473790778
BRD:BRD-A30703952-201-01-2,,39,69,0.0446,0.0164,-0.1133,1400.0,0.7297984885497555,0.9964436473790778
BRD:BRD-K13646352-001-03-8,,39,69,-1.4257,-1.4606,-0.0808,1291.0,0.7297984885497555,0.9964436473790778
BRD:BRD-K25210703-001-01-9,,31,64,-0.0816,-0.0117,0.0139,948.0,0.7298826816867388,0.9964436473790778
BRD:BRD-K00003500-001-01-9,delgocitinib,49,115,-0.162,-0.1497,-0.1568,2721.0,0.730181653123834,0.9964436473790778
BRD:BRD-K81130846-001-17-4,,40,70,0.3382,0.3372,0.1357,1456.0,0.7301994577842479,0.9964436473790778
BRD:BRD-A32673558-003-03-9,,40,70,0.0644,0.0901,-0.1498,1344.0,0.7301994577842479,0.9964436473790778
BRD:BRD-A07207424-001-13-2,,40,70,-0.2388,-0.2921,-0.0804,1344.0,0.7301994577842479,0.9964436473790778
BRD:BRD-K46585355-001-14-3,,40,70,-0.0092,-0.061,0.0499,1456.0,0.7301994577842479,0.9964436473790778
BRD:BRD-K94948151-001-07-4,,31,65,0.1383,0.1708,0.0718,1052.0,0.7302729952953207,0.9964436473790778
BRD:BRD-K32853922-003-01-8,,31,65,0.1976,0.2217,0.0521,1052.0,0.7302729952953207,0.9964436473790778
BRD:BRD-K53605365-001-01-4,,31,65,0.1064,0.1574,-0.0903,963.0,0.7302729952953207,0.9964436473790778
BRD:BRD-K43837174-003-01-3,,39,70,0.2103,0.1771,0.0924,1420.0,0.7304582278414926,0.9964436473790778
BRD:BRD-K00003211-001-01-9,lurbinectedin,49,116,-5.6107,-5.6707,-0.0655,2745.0,0.7307399873233289,0.9964436473790778
BRD:BRD-A42699921-001-02-8,,39,71,-0.1406,-0.0889,-0.0252,1329.0,0.7311011871529458,0.9964436473790778
BRD:BRD-K47659338-003-02-8,,40,69,0.0264,0.0285,0.0976,1435.0,0.73187038620857,0.9964436473790778
BRD:BRD-K00003387-001-01-9,lanabecestat,49,114,0.0723,0.0398,0.0003,2888.0,0.7323367068638515,0.9964436473790778
BRD:BRD-K28143534-001-02-2,,38,69,-0.2511,-0.3244,-0.0339,1258.0,0.7325312335554175,0.9964436473790778
BRD:BRD-K14175878-001-01-6,,38,69,-0.2295,-0.1931,0.0114,1258.0,0.7325312335554175,0.9964436473790778
BRD:BRD-K89391146-001-08-0,,38,69,-0.3216,-0.3478,0.0914,1364.0,0.7325312335554175,0.9964436473790778
BRD:BRD-A30582499-003-05-1,,38,69,-0.259,-0.2192,0.1786,1364.0,0.7325312335554175,0.9964436473790778
BRD:BRD-K65928735-001-04-3,,40,71,-0.1865,-0.183,-0.1312,1364.0,0.7331857057815014,0.9964436473790778
BRD:BRD-A55272860-001-15-3,,40,71,0.2925,0.3031,-0.0311,1364.0,0.7331857057815014,0.9964436473790778
BRD:BRD-K58770988-001-01-8,,40,71,-2.481,-2.1568,-0.0115,1364.0,0.7331857057815014,0.9964436473790778
BRD:BRD-K29656036-001-02-5,,40,71,0.0132,0.1798,-0.05,1364.0,0.7331857057815014,0.9964436473790778
