gene,n_R248W,n_other_mut,median_R248W,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
FJX1,69,726,-0.0432869367285274,-0.0544846743312178,0.07569770560468989,-0.17124039580458425,0.322635807013964,26419.0,0.45182277577827734,,0.965086619004918,False
PRPSAP1,69,726,-0.0548886644371944,-0.044450003404777005,0.07570415958162709,-0.1712339466077757,0.32264226577102983,25541.0,0.7866025339287891,,0.9855497901217778,False
IL17B,69,726,0.0480822822650353,0.05098621195934585,0.07575238531431548,-0.17118575660630342,0.32269052723493435,25631.0,0.7488945260418887,,0.9846141703822358,False
DGAT1,69,726,-0.0091696342623675,-0.016799264887369,0.07575651348935963,-0.17118163149094717,0.32269465846966644,26423.0,0.450504637939279,,0.965086619004918,False
ZNF75A,69,726,-0.0953495451903465,-0.10562786134791674,0.07575995559844613,-0.17117819193318312,0.32269810313007535,26097.0,0.564793378179323,,0.9759765291291704,False
SPATA4,69,726,0.0191772319409542,0.02482730951848815,0.07576789315662816,-0.1711702602588329,0.32270604657208923,24737.0,0.8651784343996785,,0.9864255425205465,False
ST6GALNAC5,69,726,0.0334945084332504,0.02967392723435545,0.07577813727530644,-0.17116002373466926,0.32271629828528214,25260.0,0.9071979678512316,,0.9929409871171,False
MRPL41,69,726,-0.6405953624079564,-0.6856490868803204,0.07580299138255196,-0.17113518805737304,0.322741170822477,26028.0,0.5906569593650406,,0.9795383129394515,False
C18orf54,69,726,0.0424023470046003,0.048195221041942196,0.07581054160360771,-0.17112764343619385,0.32274872664340926,25193.0,0.936381513222668,,0.9939704964319397,False
RNASE2,69,726,0.0586643038663406,0.06025495715111645,0.07583124416897499,-0.17110695622844424,0.3227694445663942,25953.0,0.6193719633345842,,0.9813551749863859,False
SUMO1,69,726,-0.1687426158299475,-0.1744745336387503,0.07583155892946625,-0.17110664170148154,0.32276975956041404,25402.0,0.8458061803979399,,0.9855497901217778,False
SCARB1,69,726,-0.1262182510942772,-0.1406901018769737,0.07584361935299423,-0.17109459022661028,0.3227818289325987,26722.0,0.35830489370969976,,0.9536537107182168,False
MTHFS,69,726,0.0197795449782189,-0.0057476903446272,0.07586185172490154,-0.1710763713855558,0.3228000748353589,27079.0,0.2650889654159534,,0.9413366814923659,False
SPATA6L,69,726,0.0352226680116288,0.038635373005141055,0.0759038562501726,-0.1710343980456223,0.32284211054596745,25491.0,0.8077761511111382,,0.9855497901217778,False
ACP7,69,726,-0.1164036268018309,-0.13224065053735784,0.07591727844100449,-0.17102098582343978,0.32285554270544875,27278.0,0.22109891392197167,,0.9220010837166663,False
