cancer_type,gene,cohens_d,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,fdr,composite_score,gene_set
Pan-cancer (RAS-excluded),OS9,-0.3214,0.0020897471053634193,67,585,-0.2597,-0.2222,0.5221159999823018,0.0907,
Pan-cancer (RAS-excluded),OR2L2,-0.3207,0.03214057223018319,61,570,-0.0343,-0.0081,0.7297637036844843,0.0439,
Pan-cancer (RAS-excluded),RAB43,-0.3207,0.0071828478571182375,67,585,-0.1925,-0.1575,0.6018488080653603,0.0707,
Pan-cancer (RAS-excluded),TM4SF1,-0.32,0.0038327289603270194,67,585,-0.0574,-0.0103,0.5559311675252981,0.0816,
Pan-cancer (RAS-excluded),ARHGEF18,-0.3199,0.009140255752032827,67,585,0.041,0.0741,0.652963848166138,0.0592,
Pan-cancer (RAS-excluded),FAM227B,-0.3198,0.02016382722388892,67,585,-0.0411,-0.0177,0.6967120484934631,0.0502,
Pan-cancer (RAS-excluded),TNFAIP2,-0.3193,0.0432466607093644,67,585,0.038,0.062,0.7644949895520278,0.0372,
Pan-cancer (RAS-excluded),H2AC15,-0.3191,0.04226452057001357,67,585,-1.0907,-1.0751,0.7586037220629763,0.0383,
Pan-cancer (RAS-excluded),TAS2R1,-0.3187,0.010115905132740705,67,585,0.0878,0.114,0.6780490098953341,0.0538,
Pan-cancer (RAS-excluded),SH2D6,-0.3185,0.11385862014950061,23,134,0.0119,0.0694,0.872350593327926,0.0189,
Pan-cancer (RAS-excluded),EEF2K,-0.3183,0.02133185800358268,67,585,-0.0299,0.0044,0.6967120484934631,0.05,
Pan-cancer (RAS-excluded),CD44,-0.3183,0.005887538609688126,67,585,-0.0316,0.0027,0.5864969711684321,0.0738,
Pan-cancer (RAS-excluded),AGBL5,-0.3182,0.008869748122592959,67,585,-0.1051,-0.0749,0.6451632751223236,0.0606,
Pan-cancer (RAS-excluded),XPOT,-0.3178,0.032706351165337925,67,585,-0.5263,-0.4951,0.7297637036844843,0.0435,
Pan-cancer (RAS-excluded),PPP1R7,-0.3173,0.03037903421044259,67,585,-0.8145,-0.7638,0.7292061268402719,0.0435,
Pan-cancer (RAS-excluded),CD2,-0.3169,0.07615449905683858,67,585,-0.003,0.0238,0.8228039115189821,0.0268,
Pan-cancer (RAS-excluded),RIMS2,-0.3165,0.02949897374882545,67,585,-0.0103,0.0191,0.7265651525977933,0.0439,
