cancer_type,gene,cohens_d,p_value,n_msi,n_mss,median_dep_msi,median_dep_mss,fdr
Pan-cancer (pooled),PEX12,-0.6125,0.00012913313834578762,44,1142,-0.0921,0.0124,0.018523890429426544
Pan-cancer (pooled),XPOT,-0.611,0.00016456004286673795,44,1142,-0.6235,-0.5071,0.0214582150660978
Pan-cancer (pooled),PTCD1,-0.611,0.00023030078637638937,44,1142,-0.5074,-0.3308,0.02425107791355611
Pan-cancer (pooled),CEBPZ,-0.6081,0.0003958555660695825,44,1142,-1.0463,-0.9311,0.03226402797815311
Pan-cancer (pooled),COL8A1,-0.6079,5.0119354887904626e-05,44,1142,-0.1057,-0.0095,0.010572825323470798
Pan-cancer (pooled),PF4,-0.6078,0.0003217040913166305,38,1029,-0.293,-0.2308,0.028138907616578054
Pan-cancer (pooled),ZNF226,-0.6062,7.767720574011414e-05,44,1142,-0.1269,-0.051,0.013988581338787958
Pan-cancer (pooled),MRPL34,-0.6036,8.247141731466471e-05,44,1142,-1.0357,-0.8385,0.014357232853099543
Pan-cancer (pooled),MRPL1,-0.6032,0.0007452034981768052,44,1142,-0.3755,-0.239,0.043809654796402066
Pan-cancer (pooled),NDUFB7,-0.603,0.00047117243805100433,44,1142,-0.6628,-0.4841,0.035056402434408954
Pan-cancer (pooled),PROSER1,-0.6011,0.00024022587028077827,44,1142,-0.0525,0.0183,0.024378865988752694
Pan-cancer (pooled),DESI1,-0.5999,0.00019055447804933209,44,1142,-0.199,-0.1435,0.023264717697491995
Pan-cancer (pooled),MPHOSPH8,-0.5992,1.0537872356958442e-05,44,1142,-0.2946,-0.1644,0.005322487266172557
Pan-cancer (pooled),RTN3,-0.5987,0.00010135963029708359,44,1142,-0.3483,-0.2339,0.015930462706794647
Pan-cancer (pooled),ZFR,-0.597,0.0005902014319210827,44,1142,-0.3955,-0.2762,0.039051298434601235
Pan-cancer (pooled),TSHR,-0.5965,0.0001495750747710174,44,1142,0.0829,0.1265,0.02030639184595793
