gene,score,logfoldchange,pval,pval_adj,subtype
PEG10,6.9629664,,3.3318091796501203e-12,2.1786621521578284e-10,SST_PLTS
TOMM20,6.939596,,3.932228090825153e-12,2.5412597805647847e-10,SST_PLTS
TUBA1A,6.927521,,4.282788730280049e-12,2.7464416224409785e-10,SST_PLTS
ROBO1,6.852639,,7.2499843338240355e-12,4.509924711628592e-10,SST_PLTS
SYT11,6.846042,,7.59212379652627e-12,4.670280893944624e-10,SST_PLTS
XKR4,6.761227,,1.368280158040264e-11,8.174735663629764e-10,SST_PLTS
RPL13,6.7582865,,1.3963344685273883e-11,8.282756852775497e-10,SST_PLTS
TMEM59L,6.7559786,,1.4187445909206689e-11,8.385739825836794e-10,SST_PLTS
ITM2C,6.7092013,,1.9569234602235146e-11,1.1364525087710614e-09,SST_PLTS
TERF2IP,6.6975827,,2.118955958591973e-11,1.2262627009147762e-09,SST_PLTS
TIMP2,6.614122,,3.7376400393426035e-11,2.1115123610014048e-09,SST_PLTS
B2M,6.611546,,3.803271097686915e-11,2.141306090219728e-09,SST_PLTS
GNG2,6.576142,,4.8281198805662815e-11,2.675193956262277e-09,SST_PLTS
BEX2,6.5514283,,5.6989429452568286e-11,3.1136099795319294e-09,SST_PLTS
RELN,42.59466,,0.0,0.0,NPY_NGF
LAMP5,25.369831,,5.430513383690581e-142,4.509769839485843e-138,NPY_NGF
CACNA2D1,24.76645,,2.0617083115502655e-135,1.141430444884612e-131,NPY_NGF
PTPRT,23.439352,,1.6974987274293723e-121,7.0484390909686115e-118,NPY_NGF
ADARB2,23.040104,,1.8485090429843886e-117,5.116981115821285e-114,NPY_NGF
CXCL14,23.007788,,3.895379153919863e-117,9.242621766779287e-114,NPY_NGF
FSTL5,22.424194,,2.2859705656605575e-111,4.745960640632025e-108,NPY_NGF
KIT,19.769833,,5.415537373293499e-87,9.994073359225746e-84,NPY_NGF
GRIK2,19.60579,,1.3799752343628438e-85,2.2920008667532474e-82,NPY_NGF
GRIK1,18.873844,,1.8717389054727385e-79,2.5906426234163926e-76,NPY_NGF
SV2C,17.881712,,1.6372898112717525e-71,2.0918266519548104e-68,NPY_NGF
NRXN1,17.159496,,5.337526335413595e-66,6.332212493206029e-63,NPY_NGF
MGAT4C,17.094168,,1.6401907907965377e-65,1.8161285896226462e-62,NPY_NGF
GRIA2,17.019133,,5.924151079140221e-65,6.149639079589996e-62,NPY_NGF
NFIB,16.925606,,2.9133089311017703e-64,2.8463028256864294e-61,NPY_NGF
SLC6A1,16.73449,,7.348387832837473e-63,6.780520750866532e-60,NPY_NGF
DOCK10,16.440708,,9.776953119556213e-61,8.54660075593206e-58,NPY_NGF
SLC8A1,16.427753,,1.2106329585854538e-60,1.0053701404572902e-57,NPY_NGF
FGF14,16.365593,,3.367287402859058e-60,2.6632036416231473e-57,NPY_NGF
RPH3A,15.977804,,1.824608196165395e-57,1.377496251368684e-54,NPY_NGF
CHL1,15.739157,,8.1522636572303085e-56,5.886997699258182e-53,NPY_NGF
MCTP1,15.469072,,5.61099851492237e-54,3.883044763931068e-51,NPY_NGF
UNC13C,15.284395,,9.716043205158076e-53,6.45495046377882e-50,NPY_NGF
CTNNA2,14.826883,,9.818712904354987e-50,6.272269331862768e-47,NPY_NGF
GRIN2A,14.748381,,3.1513405087493175e-49,1.938541278141386e-46,NPY_NGF
FGF13,14.596117,,2.973049017635319e-48,1.763548969068036e-45,NPY_NGF
CHRM3,14.29408,,2.382347908752377e-46,1.3644281522920079e-43,NPY_NGF
MACROD2,14.205774,,8.436477423218763e-46,4.522799600899256e-43,NPY_NGF
B3GALT2,14.205731,,8.441615246425247e-46,4.522799600899256e-43,NPY_NGF
CNTNAP4,14.162663,,1.559681332165777e-45,8.095233514356686e-43,NPY_NGF
LRRC7,14.074755,,5.4292968022712274e-45,2.732581532997661e-42,NPY_NGF
SPOCK1,14.051311,,7.562142853757501e-45,3.694106784060539e-42,NPY_NGF
FXYD6,13.931532,,4.0752197784035134e-44,1.8293331162028094e-41,NPY_NGF
CCK,13.605533,,3.712538714354571e-42,1.5810655258132072e-39,NPY_NGF
ID2,13.521425,,1.168889649749997e-41,4.853522048174425e-39,NPY_NGF
DLX6-AS1,13.154728,,1.5985714393272236e-39,6.321588818044252e-37,NPY_NGF
NRG1,13.13837,,1.9845608605373438e-39,7.66548170527087e-37,NPY_NGF
SGCZ,12.826378,,1.1669377065704074e-37,4.404924629188158e-35,NPY_NGF
PRKCB,12.823526,,1.2106658429852669e-37,4.4684331080316217e-35,NPY_NGF
EGFR,12.79824,,1.677106904293899e-37,6.05544968987334e-35,NPY_NGF
KCNIP1,12.794919,,1.7503516986111747e-37,6.185444970687873e-35,NPY_NGF
HS3ST5,12.6954975,,6.2630313727086125e-37,2.1671393347774444e-34,NPY_NGF
